Item #,Deck color,Word to be explained,taboo1,taboo2,taboo3,taboo4,taboo5,target,avg_distance_to_taboo,counts_for_taboo_obs
1,blue,extreme,Sports,Athlete,Temperature,Radical,difficulty,extreme,0.708505583,5
54,blue,ambassador,diplomat,United Nations,country,embassy,foreign,ambassador,0.513982315,4
55,blue,brain,smart,head,mind,skull,cranium,brain,0.699370873,5
56,blue,farm,land,cow,milk,stand,vegetable,farm,0.656566474,5
57,blue,camp,fire,woods,summer,tent,backpack,camp,0.706965296,5
58,blue,lifeguard,pool,beach,sim,drown,save,lifeguard,0.856969701,5
59,blue,luggage,baggage,suitcase,travel,vacation,pack,luggage,0.564354169,5
60,blue,hose,water,rubber,stockings,pant,sprinkler,hose,0.666667989,5
61,blue,aspirin,pill,headache,medicine,dosage,pharmacy,aspirin,0.63590073,5
62,blue,dead end,street,exit,road,job,cul-de-sac,dead end,,0
63,blue,dove,bird,peace,pigeon,white,soap,dove,0.762207383,5
64,blue,dare,truth,challenge,courage,bold,provoke,dare,0.715394771,5
66,blue,amnesia,forget,memory,remmeber,head,bump,amnesia,0.8913738,4
67,blue,caricature,cartoon,drawing,artist,portrait,distort,caricature,0.643947682,5
68,blue,call,phone,dial,back,answer,talk,call,0.512569195,5
69,blue,dribble,drool,saliva,spit,basketball,bounce,dribble,0.800511894,5
70,blue,blush,red,cheeks,makeup,embarrass,face,blush,0.805153924,5
71,blue,dust,dirt,vacuum,collect,clean,bunnies,dust,0.64255929,5
72,blue,flashlight,batteries,beam,shine,dark,hand,flashlight,0.681154913,5
73,blue,blister,sunburn,bubble,shoes,skin,rub,blister,0.798676184,5
74,blue,battery,car,charge,size,jump,cell,battery,0.716629249,5
75,blue,bowling alley,pins,shoes,spare,strike,balls,bowling alley,,0
76,blue,bald,head,hair,spot,rug,toupee,bald,0.779488912,5
77,blue,boardwalk,Atlantic City,beach,pier,Monopoly,Park Place,boardwalk,0.688338898,3
78,blue,blast,dynamite,explosion,party,loud,off,blast,0.600194094,5
